,OBJECTID,FID_1,City,Area,X2016,Cntry_C,Cntry__,Shape_Leng,Shape_Area,ZS_sum,worldpop,lcz_stats,lcz_shares,LCZ_1,LCZ_2,LCZ_3,LCZ_4,LCZ_5,LCZ_6,LCZ_8,LCZ_9,LCZ_10,LCZ_11,LCZ_12,LCZ_14,LCZ_15,LCZ_16,LCZ_17,LCZ_7,LCZ_13,Mean_1981_2010,Mean_2071_2100,Temp_Diff_2071_2100,Continent,Optimize Urban Openness_score,Regulate Densification_score,Restrict Building Height_score,Raise Pervious Surface Fraction Ratio_score,Utilize Reflective Building Materials_score,Increase Green Space and Vegetation Cover_score,Increase Water Bodies_score,Reduce Environmental Pollution_score,Control Heat Emissions From Factories_score,Promote Sustainable Urban Forms_score
0,1,1.0,Winnipeg,476.219088312,765.85,124.0,Canada,383225.072805,476219088.3119999,686969.1655327926,687,"{1: 77, 2: 187, 3: 433, 4: 146, 5: 2843, 6: 19731, 8: 20330, 9: 88, 10: 51, 11: 464, 12: 1256, 14: 26260, 15: 472, 16: 1364, 17: 223}","{1: 0.0010415962123774096, 2: 0.0025295908014879944, 3: 0.0058572877916807575, 4: 0.0019749746364558676, 5: 0.03845789651673994, 6: 0.26690564761582686, 8: 0.27500845451471084, 9: 0.001190395671288468, 10: 0.0006898884004058167, 11: 0.006276631721339195, 12: 0.016990192762935407, 14: 0.35522489009130875, 15: 0.0063848495096381465, 16: 0.018451132904971256, 17: 0.0030165708488332768}",0.0010415962123774096,0.0025295908014879944,0.0058572877916807575,0.0019749746364558676,0.03845789651673994,0.26690564761582686,0.27500845451471084,0.001190395671288468,0.0006898884004058167,0.006276631721339195,0.016990192762935407,0.35522489009130875,0.0063848495096381465,0.018451132904971256,0.0030165708488332768,0.0,0.0,3.2291036088475344,9.347370974000814,6.1182673651532795,North America,0.009428474805546162,0.009428474805546162,0.003016570848833277,0.284436929320257,0.2871017923571187,0.2871017923571187,0.2871017923571187,0.27673993912749406,0.27673993912749406,0.27569834291511663
1,2,2.0,Calabar,141.186184944,487.705,566.0,Nigeria,92047.8661921,141186184.944,288145.2133870125,288,"{3: 1378, 6: 4315, 7: 10, 8: 241, 9: 2788, 11: 4452, 12: 21, 14: 690, 15: 1, 16: 11, 17: 255}","{3: 0.09730264086993362, 6: 0.304688603304618, 7: 0.0007061149555147578, 8: 0.017017370427905663, 9: 0.19686484959751446, 11: 0.31436237819517016, 12: 0.0014828414065809915, 14: 0.04872193193051829, 15: 7.061149555147578e-05, 16: 0.0007767264510662336, 17: 0.018005931365626324}",0.0,0.0,0.09730264086993362,0.0,0.0,0.304688603304618,0.017017370427905663,0.19686484959751446,0.0,0.31436237819517016,0.0014828414065809915,0.04872193193051829,7.061149555147578e-05,0.0007767264510662336,0.018005931365626324,0.0007061149555147578,0.0,25.92429292929296,28.49994949494953,2.575656565656569,Africa,0.09730264086993362,0.09730264086993362,0.0,0.11432001129783928,0.11432001129783928,0.11432001129783928,0.11432001129783928,0.017017370427905663,0.017017370427905663,0.017017370427905663
2,3,3.0,Anqiu,142.614875067,522.101,156.0,China,85910.6702175,142614875.067,329552.7150732875,330,"{2: 48, 3: 1450, 4: 138, 5: 496, 6: 3010, 7: 15, 8: 3970, 9: 4079, 10: 6, 11: 16, 12: 3, 14: 4466, 15: 1, 16: 8, 17: 32}","{2: 0.0027060547976096518, 3: 0.08174540534445822, 4: 0.0077799075431277485, 5: 0.0279625662419664, 6: 0.1696921862667719, 7: 0.0008456421242530162, 8: 0.22381328221896493, 9: 0.22995828165520352, 10: 0.00033825684970120647, 11: 0.0009020182658698838, 12: 0.00016912842485060324, 14: 0.2517758484609313, 15: 5.637614161686774e-05, 16: 0.0004510091329349419, 17: 0.0018040365317397676}",0.0,0.0027060547976096518,0.08174540534445822,0.0077799075431277485,0.0279625662419664,0.1696921862667719,0.22381328221896493,0.22995828165520352,0.00033825684970120647,0.0009020182658698838,0.00016912842485060324,0.2517758484609313,5.637614161686774e-05,0.0004510091329349419,0.0018040365317397676,0.0008456421242530162,0.0,13.21143317230277,17.121054750402607,3.909621578099836,Asia,0.08445146014206788,0.08445146014206788,0.0077799075431277485,0.3082647423610328,0.31638290675386177,0.31638290675386177,0.31638290675386177,0.22415153906866614,0.22415153906866614,0.22415153906866614
3,4,4.0,Maracay,337.57511556,1186.158,862.0,"Venezuela (Bolivarian Republic of)
",124586.331505,337575115.56,888539.8638128042,889,"{2: 31, 3: 4959, 4: 1, 5: 134, 6: 7692, 8: 4667, 9: 5160, 11: 1575, 12: 3568, 13: 61, 14: 6110, 15: 8, 16: 31, 17: 241}","{2: 0.0009054267188504002, 3: 0.14483906770255273, 4: 2.920731351130323e-05, 5: 0.003913780010514633, 6: 0.22466265552894446, 8: 0.13631053215725217, 9: 0.15070973771832466, 11: 0.046001518780302585, 12: 0.10421169460832992, 13: 0.001781646124189497, 14: 0.17845668555406274, 15: 0.00023365850809042583, 16: 0.0009054267188504002, 17: 0.007038962556224078}",0.0,0.0009054267188504002,0.14483906770255273,2.920731351130323e-05,0.003913780010514633,0.22466265552894446,0.13631053215725217,0.15070973771832466,0.0,0.046001518780302585,0.10421169460832992,0.17845668555406274,0.00023365850809042583,0.0009054267188504002,0.007038962556224078,0.0,0.001781646124189497,24.75676567656769,27.21134488448848,2.4545792079207907,South America,0.14574449442140314,0.14574449442140314,2.920731351130323e-05,0.28205502657865533,0.28208423389216664,0.28208423389216664,0.28208423389216664,0.13631053215725217,0.13631053215725217,0.13631053215725217
4,6,6.0,Tel Aviv-Yafo (Tel Aviv-Jaffa),783.070328759,3661.189,376.0,Israel,228415.42791600002,783070328.759,2626706.7244017124,2627,"{1: 49, 2: 6475, 3: 8307, 4: 169, 5: 684, 6: 31323, 8: 17884, 9: 7090, 10: 521, 11: 50, 12: 1564, 13: 2083, 14: 13250, 15: 173, 16: 2722, 17: 42}","{1: 0.0005303833914229428, 2: 0.07008637672374603, 3: 0.08991622107245686, 4: 0.0018292814928668846, 5: 0.007403719178230468, 6: 0.3390448769294049, 8: 0.1935791137185288, 9: 0.07674322949364622, 10: 0.00563938259043578, 11: 0.0005412075422683091, 12: 0.016928971922152706, 13: 0.022546706210897754, 14: 0.1434199987011019, 15: 0.0018725780962483493, 16: 0.029463338601086745, 17: 0.0004546143355053796}",0.0005303833914229428,0.07008637672374603,0.08991622107245686,0.0018292814928668846,0.007403719178230468,0.3390448769294049,0.1935791137185288,0.07674322949364622,0.00563938259043578,0.0005412075422683091,0.016928971922152706,0.1434199987011019,0.0018725780962483493,0.029463338601086745,0.0004546143355053796,0.0,0.022546706210897754,20.32303967510156,23.507911590128117,3.184871915026555,Asia,0.16053298118762582,0.16053298118762582,0.002359664884289827,0.3541120949061546,0.36158075898945724,0.36158075898945724,0.36158075898945724,0.19974887970038752,0.19974887970038752,0.19921849630896457
5,7,7.0,Sanmenxia,106.067447719,316.458,156.0,China,118201.762401,106067447.719,359040.2079009414,359,"{2: 324, 3: 485, 4: 84, 5: 662, 6: 2626, 7: 7, 8: 2894, 9: 2662, 10: 8, 11: 68, 12: 240, 13: 26, 14: 2534, 15: 25, 16: 26, 17: 248}","{2: 0.025079340506231132, 3: 0.037541605387413884, 4: 0.006502051242356219, 5: 0.05124235621952163, 6: 0.20326650669556467, 7: 0.000541837603529685, 8: 0.22401114637355832, 9: 0.2060531000851459, 10: 0.0006192429754624971, 11: 0.005263565291431225, 12: 0.018577289263874912, 13: 0.0020125396702531154, 14: 0.19614521247774597, 15: 0.0019351342983203034, 16: 0.0020125396702531154, 17: 0.01919653223933741}",0.0,0.025079340506231132,0.037541605387413884,0.006502051242356219,0.05124235621952163,0.20326650669556467,0.22401114637355832,0.2060531000851459,0.0006192429754624971,0.005263565291431225,0.018577289263874912,0.19614521247774597,0.0019351342983203034,0.0020125396702531154,0.01919653223933741,0.000541837603529685,0.0020125396702531154,14.16120309050776,17.878366445916146,3.7171633554083865,Asia,0.06262094589364502,0.06262094589364502,0.006502051242356219,0.2866320922672033,0.2937533864850221,0.2937533864850221,0.2937533864850221,0.22463038934902083,0.22463038934902083,0.22463038934902083
6,8,8.0,Abidjan,413.978856238,5019.689,384.0,C̫te d'Ivoire,330213.689506,413978856.238,4348231.629837871,4348,"{2: 26, 3: 12234, 4: 29, 5: 70, 6: 12617, 7: 54, 8: 5094, 9: 4358, 10: 163, 11: 3746, 12: 989, 13: 36, 14: 1899, 15: 5, 16: 144, 17: 5}","{2: 0.000626974366394174, 3: 0.2950155537871663, 4: 0.0006993175625165786, 5: 0.0016880079095227762, 6: 0.30425136849212664, 7: 0.0013021775302032843, 8: 0.12283874701584316, 9: 0.10509054956714654, 10: 0.003930646989317321, 11: 0.09033253755817598, 12: 0.02384914032168608, 13: 0.0008681183534688563, 14: 0.045793243145482165, 15: 0.00012057199353734115, 16: 0.003472473413875425, 17: 0.00012057199353734115}",0.0,0.000626974366394174,0.2950155537871663,0.0006993175625165786,0.0016880079095227762,0.30425136849212664,0.12283874701584316,0.10509054956714654,0.003930646989317321,0.09033253755817598,0.02384914032168608,0.045793243145482165,0.00012057199353734115,0.003472473413875425,0.00012057199353734115,0.0013021775302032843,0.0008681183534688563,25.7423195876289,28.15841924398629,2.4160996563573924,Africa,0.2956425281535605,0.2956425281535605,0.0006993175625165786,0.4184812751694037,0.42311123972123754,0.42311123972123754,0.42311123972123754,0.1267693940051605,0.1267693940051605,0.1267693940051605
7,9,9.0,Abomey-Calavi Cotonou,459.973098796,1491.846,204.0,Benin,278842.57832,459973098.7959999,1637427.2860501409,1637,"{3: 5747, 4: 1, 6: 12295, 7: 5, 8: 1278, 9: 12386, 10: 7, 11: 1213, 12: 80, 13: 85, 14: 12419, 15: 20, 16: 289, 17: 189}","{3: 0.12489677054809406, 4: 2.173251619072456e-05, 6: 0.2672012865649585, 7: 0.00010866258095362281, 8: 0.02777415569174599, 9: 0.26917894553831445, 10: 0.00015212761333507194, 11: 0.026361542139348895, 12: 0.001738601295257965, 13: 0.0018472638762115877, 14: 0.2698961185726083, 15: 0.00043465032381449125, 16: 0.006280697179119398, 17: 0.004107445560046942}",0.0,0.0,0.12489677054809406,2.173251619072456e-05,0.0,0.2672012865649585,0.02777415569174599,0.26917894553831445,0.00015212761333507194,0.026361542139348895,0.001738601295257965,0.2698961185726083,0.00043465032381449125,0.006280697179119398,0.004107445560046942,0.00010866258095362281,0.0018472638762115877,26.578225308642004,28.586527777777807,2.0083024691358027,Africa,0.12489677054809406,0.12489677054809406,2.173251619072456e-05,0.15267092623984005,0.15284478636936585,0.15284478636936585,0.15284478636936585,0.02792628330508106,0.02792628330508106,0.02792628330508106
8,10,10.0,Abuja,508.471557309,2586.112,566.0,Nigeria,165105.970188,508471557.309,1172506.0412952304,1173,"{2: 1830, 3: 10316, 4: 2, 5: 60, 6: 23580, 8: 3774, 9: 5358, 11: 610, 12: 3271, 13: 1019, 14: 1352, 15: 141, 16: 169, 17: 3}","{2: 0.03554433330096145, 3: 0.20036903952607554, 4: 3.8846265902690105e-05, 5: 0.0011653879770807032, 6: 0.4579974749927163, 8: 0.07330290375837623, 9: 0.10406914635330679, 11: 0.011848111100320483, 12: 0.06353306788384966, 13: 0.019792172477420607, 14: 0.02626007575021851, 15: 0.0027386617461396525, 16: 0.0032825094687773137, 17: 5.8269398854035155e-05}",0.0,0.03554433330096145,0.20036903952607554,3.8846265902690105e-05,0.0011653879770807032,0.4579974749927163,0.07330290375837623,0.10406914635330679,0.0,0.011848111100320483,0.06353306788384966,0.02626007575021851,0.0027386617461396525,0.0032825094687773137,5.8269398854035155e-05,0.0,0.019792172477420607,26.275222222222254,28.4124166666667,2.1371944444444466,Africa,0.235913372827037,0.235913372827037,3.8846265902690105e-05,0.30921627658541323,0.30925512285131596,0.30925512285131596,0.30925512285131596,0.07330290375837623,0.07330290375837623,0.07330290375837623
9,11,11.0,Abu Zaby (Abu Dhabi),694.484326302,1178.594,784.0,United Arab Emirates,646801.857599,694484326.302,349859.04833728075,350,"{1: 16, 2: 44, 3: 827, 4: 102, 6: 2687, 8: 28327, 9: 1274, 10: 2074, 12: 22, 13: 314, 14: 380, 15: 5036, 16: 33907, 17: 37}","{1: 0.00021319972817034657, 2: 0.0005862992524684531, 3: 0.011019760949804789, 4: 0.0013591482670859594, 6: 0.03580422934960758, 8: 0.377456793742588, 9: 0.016976028355563846, 10: 0.027636014764081177, 12: 0.00029314962623422657, 13: 0.004184044665343052, 14: 0.005063493544045732, 15: 0.06710461444161658, 16: 0.45181019894199637, 17: 0.0004930243713939265}",0.00021319972817034657,0.0005862992524684531,0.011019760949804789,0.0013591482670859594,0.0,0.03580422934960758,0.377456793742588,0.016976028355563846,0.027636014764081177,0.0,0.00029314962623422657,0.005063493544045732,0.06710461444161658,0.45181019894199637,0.0004930243713939265,0.0,0.004184044665343052,27.715580920564253,31.64348552338534,3.927904602821087,Asia,0.011819259930443589,0.011819259930443589,0.001572347995256306,0.3892760536730316,0.4182712167041987,0.4182712167041987,0.4182712167041987,0.40530600823483953,0.40530600823483953,0.4050928085066692
