Continent,LCZ,LCZ_Description,High_N,Low_N,High_Mean,Low_Mean,T_stat,P_value
North America,LCZ_2,Compact midrise,3,123,0.003372958026737333,0.003663851099534646,-0.09037412215133128,0.9346020568923471
North America,LCZ_3,Compact lowrise,4,180,0.07803422662261304,0.047874704038438486,1.234864821562614,0.29759757594036523
North America,LCZ_4,Open highrise,3,154,0.0006585802302135667,0.003121752956920442,-4.475000705007281,1.8955316509612414e-05
North America,LCZ_5,Open midrise,3,173,0.010382334098372999,0.023912357687808247,-1.3524028167565458,0.2883528943562262
North America,LCZ_6,Open lowrise,4,181,0.3416279052384441,0.36771704287759277,-0.4090115420160964,0.7090389127004557
North America,LCZ_8,Large lowrise,4,180,0.09670220143579113,0.12734061921481712,-0.9319291316823058,0.41727039190241483
North America,LCZ_9,Sparsely built,4,180,0.13990884557281918,0.08524244696723997,1.0327214663278428,0.37661785131997366
North America,LCZ_10,Heavy industry,3,138,0.0007475930987067703,0.0022739224761946036,-1.5347978466098868,0.16144162981505697
North America,LCZ_11,Dense trees,4,176,0.1129306643534532,0.11129960884534826,0.04375154183131901,0.9675770004384096
North America,LCZ_12,Scattered trees,4,179,0.13245219728491764,0.07974644071250162,1.3953186496383372,0.25557092435439316
North America,LCZ_13,"Bush, scrub",2,97,0.0003173570753352,0.023933241283895356,-5.241946687468071,9.424921593395495e-07
North America,LCZ_14,Low plants,4,180,0.08054916517155905,0.10257509751616199,-1.1042960523238579,0.33167931692399893
North America,LCZ_15,Bare rock or paved,2,168,0.0025727009576147,0.004195948658004427,-0.6244195023220268,0.6271703209699011
North America,LCZ_16,Bare soil or sand,3,175,0.0037592915850484664,0.03172949780973549,-4.431937103695053,6.709159718506777e-05
North America,LCZ_17,Water,3,163,0.0028789300328237,0.007220985053794475,-2.526364861221017,0.04750012936038117
Africa,LCZ_2,Compact midrise,7,67,0.0035926101162925017,0.008425086891361011,-1.6813664964276285,0.10807685202340639
Africa,LCZ_3,Compact lowrise,26,140,0.14077805558150283,0.11823337196374786,1.0934447136270178,0.28192787228398186
Africa,LCZ_5,Open midrise,3,88,9.39451496551165e-05,0.0029662519441190885,-4.87875945389196,4.696788796001302e-06
Africa,LCZ_6,Open lowrise,26,142,0.2661824010547426,0.2801322231880595,-0.4846918005077902,0.6306937014810556
