location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1981-06-01 00:00:00+00:00,27.139,14.289,21.00775
Berlin,1981-06-02 00:00:00+00:00,27.989,15.289,22.368166
Berlin,1981-06-03 00:00:00+00:00,27.489,17.789,22.418167
Berlin,1981-06-04 00:00:00+00:00,20.338999,15.039,18.047337
Berlin,1981-06-05 00:00:00+00:00,22.139,14.488999,18.02025
Berlin,1981-06-06 00:00:00+00:00,22.289,14.688999,18.605667
Berlin,1981-06-07 00:00:00+00:00,22.838999,14.539,18.580667
Berlin,1981-06-08 00:00:00+00:00,23.739,14.188999,19.264
Berlin,1981-06-09 00:00:00+00:00,25.139,17.289,20.355669
Berlin,1981-06-10 00:00:00+00:00,21.389,14.389,18.070251
Berlin,1981-06-11 00:00:00+00:00,20.689,10.488999,16.5515
Berlin,1981-06-12 00:00:00+00:00,21.139,11.039,17.305668
Berlin,1981-06-13 00:00:00+00:00,15.589,10.089,12.824417
Berlin,1981-06-14 00:00:00+00:00,19.889,12.488999,15.7265005
Berlin,1981-06-15 00:00:00+00:00,19.939,13.589,16.593164
Berlin,1981-06-16 00:00:00+00:00,17.588999,10.789,14.443168
Berlin,1981-06-17 00:00:00+00:00,16.338999,10.389,13.053582
Berlin,1981-06-18 00:00:00+00:00,16.239,10.488999,12.638999
Berlin,1981-06-19 00:00:00+00:00,15.738999,10.889,12.582751
Berlin,1981-06-20 00:00:00+00:00,14.539,10.039,12.161918
Berlin,1981-06-21 00:00:00+00:00,15.988999,9.238999,12.626499
Berlin,1981-06-22 00:00:00+00:00,19.639,7.639,14.368165
Berlin,1981-06-23 00:00:00+00:00,21.139,11.238999,16.27025
Berlin,1981-06-24 00:00:00+00:00,17.439,12.789,15.038999
Berlin,1981-06-25 00:00:00+00:00,15.488999,13.139,14.295249
Berlin,1981-06-26 00:00:00+00:00,22.439,11.389,17.668165
Berlin,1981-06-27 00:00:00+00:00,24.289,13.639,19.193163
Berlin,1981-06-28 00:00:00+00:00,26.739,13.839,21.866083
Berlin,1981-06-29 00:00:00+00:00,24.489,12.389,19.876503
Berlin,1981-06-30 00:00:00+00:00,16.439,10.089,12.87025
Berlin,1981-07-01 00:00:00+00:00,19.239,11.988999,15.547334
Berlin,1981-07-02 00:00:00+00:00,21.789,12.389,17.741085
Berlin,1981-07-03 00:00:00+00:00,22.939,15.139,18.749418
Berlin,1981-07-04 00:00:00+00:00,19.639,13.039,16.336916
Berlin,1981-07-05 00:00:00+00:00,21.139,12.389,17.393167
Berlin,1981-07-06 00:00:00+00:00,24.289,14.039,19.45775
Berlin,1981-07-07 00:00:00+00:00,25.088999,14.789,20.397333
Berlin,1981-07-08 00:00:00+00:00,25.838999,16.039,21.511917
Berlin,1981-07-09 00:00:00+00:00,26.539,16.989,22.063997
Berlin,1981-07-10 00:00:00+00:00,27.239,17.539,23.059835
Berlin,1981-07-11 00:00:00+00:00,28.289,19.439,24.070253
Berlin,1981-07-12 00:00:00+00:00,24.338999,16.889,20.878584
Berlin,1981-07-13 00:00:00+00:00,20.588999,14.389,17.934832
Berlin,1981-07-14 00:00:00+00:00,20.989,14.039,17.720251
Berlin,1981-07-15 00:00:00+00:00,19.239,14.039,16.4765
Berlin,1981-07-16 00:00:00+00:00,20.689,13.539,17.2765
Berlin,1981-07-17 00:00:00+00:00,21.239,13.089,17.891085
Berlin,1981-07-18 00:00:00+00:00,17.189,11.589,14.778584
Berlin,1981-07-19 00:00:00+00:00,18.939,12.789,15.62025
Berlin,1981-07-20 00:00:00+00:00,17.239,12.339,14.839
Berlin,1981-07-21 00:00:00+00:00,18.338999,12.539,15.766086
Berlin,1981-07-22 00:00:00+00:00,21.489,14.289,17.772333
Berlin,1981-07-23 00:00:00+00:00,26.338999,14.238999,19.947332
Berlin,1981-07-24 00:00:00+00:00,22.239,15.639,18.89525
Berlin,1981-07-25 00:00:00+00:00,19.639,13.889,16.605667
Berlin,1981-07-26 00:00:00+00:00,15.639,12.339,13.993167
Berlin,1981-07-27 00:00:00+00:00,16.289,12.639,14.147334
Berlin,1981-07-28 00:00:00+00:00,19.239,12.589,15.809834
Berlin,1981-07-29 00:00:00+00:00,19.889,13.039,16.943169
Berlin,1981-07-30 00:00:00+00:00,17.189,13.639,15.653584
Berlin,1981-07-31 00:00:00+00:00,19.389,12.438999,15.286916
Berlin,1981-08-01 00:00:00+00:00,24.588999,12.389,18.58275
Berlin,1981-08-02 00:00:00+00:00,20.239,14.389,17.143167
Berlin,1981-08-03 00:00:00+00:00,21.889,14.039,17.455667
Berlin,1981-08-04 00:00:00+00:00,24.088999,11.839,18.609835
Berlin,1981-08-05 00:00:00+00:00,26.039,13.488999,20.353582
Berlin,1981-08-06 00:00:00+00:00,27.439,15.039,21.655664
Berlin,1981-08-07 00:00:00+00:00,30.088999,16.389,23.57025
Berlin,1981-08-08 00:00:00+00:00,26.539,18.338999,22.203585
Berlin,1981-08-09 00:00:00+00:00,23.139,17.639,20.528582
Berlin,1981-08-10 00:00:00+00:00,19.838999,16.739,18.322332
Berlin,1981-08-11 00:00:00+00:00,22.739,16.088999,18.830667
Berlin,1981-08-12 00:00:00+00:00,22.588999,11.988999,17.92025
Berlin,1981-08-13 00:00:00+00:00,23.189,15.389,19.286917
Berlin,1981-08-14 00:00:00+00:00,25.139,16.039,20.949417
Berlin,1981-08-15 00:00:00+00:00,24.539,16.639,20.92025
Berlin,1981-08-16 00:00:00+00:00,21.489,13.889,18.732752
Berlin,1981-08-17 00:00:00+00:00,17.838999,12.039,14.864002
Berlin,1981-08-18 00:00:00+00:00,18.838999,11.238999,15.2765
Berlin,1981-08-19 00:00:00+00:00,17.889,13.589,15.568165
Berlin,1981-08-20 00:00:00+00:00,15.738999,13.488999,14.451503
Berlin,1981-08-21 00:00:00+00:00,17.289,12.139,13.991082
Berlin,1981-08-22 00:00:00+00:00,17.789,11.589,14.228583
Berlin,1981-08-23 00:00:00+00:00,15.639,10.889,13.236916
Berlin,1981-08-24 00:00:00+00:00,19.039,11.289,14.805667
Berlin,1981-08-25 00:00:00+00:00,16.289,11.488999,13.678585
Berlin,1981-08-26 00:00:00+00:00,19.588999,14.188999,16.468168
Berlin,1981-08-27 00:00:00+00:00,17.189,12.389,14.764
Berlin,1981-08-28 00:00:00+00:00,17.539,10.339,13.866084
Berlin,1981-08-29 00:00:00+00:00,17.338999,9.988999,13.680665
Berlin,1981-08-30 00:00:00+00:00,16.939,9.289,13.455668
Berlin,1981-08-31 00:00:00+00:00,18.139,11.188999,14.299416
Berlin,1982-06-01 00:00:00+00:00,28.289,11.539,20.841084
Berlin,1982-06-02 00:00:00+00:00,30.239,13.488999,23.205671
Berlin,1982-06-03 00:00:00+00:00,30.639,17.639,24.803581
Berlin,1982-06-04 00:00:00+00:00,31.189,18.739,25.282751
Berlin,1982-06-05 00:00:00+00:00,31.989,17.289,25.645254
Berlin,1982-06-06 00:00:00+00:00,27.789,18.539,22.828583
Berlin,1982-06-07 00:00:00+00:00,21.439,12.539,18.034834
Berlin,1982-06-08 00:00:00+00:00,23.838999,10.289,18.264002
Berlin,1982-06-09 00:00:00+00:00,20.139,13.639,16.768166
Berlin,1982-06-10 00:00:00+00:00,17.838999,12.488999,15.311919
Berlin,1982-06-11 00:00:00+00:00,22.889,10.639,16.73692
